,platform_num,date,content
190,4,2022-01-21,고대 산업공학과vs서강대 기계과
191,4,2019-10-11,숭실대 산업공학과 어때요?
192,4,2021-11-22,나는 산업공학과 지원할 예정
193,4,2020-06-16,현재 20살이고 산업공학과 재학중인데 자격증 추천좀
194,4,2021-12-27,한양대 산업공학과vs서강대 기계공학과
195,4,2019-09-02,님들 산업공학과가 갈 수 있는 공기업 머있음
196,4,2021-11-22,장수생 연대 산업공학과 가고 싶은데 시발
197,4,2021-12-31,산업공학과 코딩 안함?
198,4,2021-12-31,산업공학과 코딩 안함?
199,4,2019-10-12,산업공학과가 재료공학과 비빔?
200,4,2021-12-22,올해 산업공학과 빵꾸 날것같다
201,4,2022-01-12,명지산업공학과 vs 경기화학
202,4,2019-03-20,통계학과+컴공과vs통계학과+산업공학과
203,4,2021-12-05,난 산업공학과 가고 싶은데
204,4,2021-02-07,산업공학과 인식도 간판따러가는공대 인식 아님?
205,4,2020-08-30,조지워싱턴대학교 대학원 경영학 경복고 고려대 산업공학과
206,4,2019-11-21,바이오헬스케어 산업의 중심ㅡ건대 화장품공학과
207,4,2021-12-18,산업공학과로 전과할 플랜을 세우는 중
208,4,2022-01-19,안전공학과 다니면서 느낀점 몇가지
209,4,2021-10-20,24살 지잡 산업공학과다니는데 적성 존나안맞음
210,4,2021-12-18,산업공학과 이거 팀플 많이하나
211,4,2022-01-12,아주대 산업공학과
212,4,2019-09-12,부경전 산업공학과 어떠냐
213,4,2021-11-21,조선대 산업공학과인데 전남대 산업공학과로 편입
214,4,2019-11-03,산업공학과 공대내에서 ㅁㅌㅊ냐?
215,4,2020-10-10,산업공학과 생기부로 교물 
216,4,2020-02-17,산업공학과가 문과애들 적응하기쉽다고 누가그랬냐
217,4,2021-12-27,산업경영공학과 vs 화학과면 난 화학과 가고싶은데 어디가좋지?
218,4,2021-12-28,산업공학과는 수학만 씀?
219,4,2021-11-10,산업공학과 <<< 물리 ㄴ 필요 아님?
220,4,2021-12-19, 이거보고 산업공학과 포기햇다
221,4,2020-12-06,여기 산업공학과 있냐
222,4,2021-12-19,산업공학과는 뭐하는곳임
223,4,2021-06-13,산업공학과는 뭐하는 과임?
224,4,2019-06-25,금오공대 산업공학부 vs 전남대 산업공학과
225,4,2021-12-16,산업공학과 ㅁㅌㅊ임?
226,4,2021-12-22,통계학과 vs 산업공학과 ( 둘다 대학원갌갱각)
227,4,2019-12-07,전남대 산업공학과 신소재공학부가 좃구린곳이냐?
228,4,2022-01-05,산업공학과 복전하고싶음
229,4,2021-01-12,야 원래 산업공학과가 유사 문과학과 아니냐?
230,4,2021-02-14,여기 산업정보시스템공학과가 좋다는데 진짜요?
231,4,2021-12-13,산업경영공학과 가서 경영 복전하는 사람은 왜 없지
232,4,2021-11-22,서울 4년제 산업공학과인데 
233,4,2021-12-10,산업공학과 고민중인데요 ..
234,4,2021-11-28,산업공학과는 뭐 배우는 곳인지??
235,4,2021-12-14,산업공학과 가면 금융공학을 배울수 있음?
236,4,2019-12-07,전남대 산업공학과 신소재공학부가 좃구린곳이냐?
237,4,2022-01-09,산업공학과 코딩 못하면 ㅈ됨?
238,4,2022-01-07,수포자인데 산업공학과 가도 됨?
239,4,2020-12-13,산업공학과는 정확히 뭘배우는거?
240,4,2021-12-05,토닥토닥님 서울대 산업공학과라 문/이과 통합이라네요
241,4,2021-12-29,산업경영공학과에서 만나요.
242,4,2019-08-27,산업공학과 울산대vs경상대vs 창원대 마지막한장 수시고민중
243,4,2021-12-09,산업경영공학과 갈거면 걍 한급 높은 경영ㆍ경제가 낫지않나.
244,4,2019-01-27,꾸준글 아주대 산업공학과 산공
245,4,2022-01-01,산업공학과<- 꼴리지 않음?
246,4,2022-01-18,산업공학과 서성한 중에 어디가 젤 좋음??
247,4,2022-01-20,산업경영공학과는 뭐하는 과냐??
248,4,2019-01-27,꾸준글 아주대 산공 산업공학과
249,4,2019-02-05,대학 헬프좀요 전남대 독일언어문학과 vs 한국산업기술대 신소재공학과
250,4,2019-01-29,아주대 3년 4년 산공 산업공학과
251,4,2019-01-04,아주대 산업공학과 폴로 에코백 민폐.
252,4,2020-09-06,내가 문과 나오고 지거국 인문대 다니다가 산업공학과 복전했는데
253,4,2020-02-10,국숭라인 산업공학과 나와서 데이터마이닝 쪽 하고싶은데
254,4,2019-01-19,전남대 산업공학과 vs 숭실대 산업공학과
255,4,2022-01-02,고려대 산업공학과<- 먹음직스러움
256,4,2021-12-28,산업공학과<<<<<주면 감?
257,4,2021-07-21,3학년 2학기 프라임컬리지 산업공학과 편입생인데 질문있어요!
258,4,2019-02-05,산업공학과 -> 로봇공학 전과 어떠나요?
259,4,2021-12-18,산업공학과<<<<취업 잘됨?
