,platform_num,date,content
46,7,2020-06-03,"{'reply': 'bart13세저는 제조업쪽 SCM팀에서 근무 중입니다. 제 생각에는 줄어들지는 않을거같습니다. 데이터분석쪽으로도 준비를 하셔서 오시면 충분한 경쟁력을 얻을 수 있을거같습니다', 'thread': '2-2'}"
47,7,2020-06-03,"{'reply': '쪽지로 몇가지 여쭤볼 수 있을까요!', 'thread': '2-3'}"
48,7,2020-06-03,"{'reply': '핑구넵', 'thread': '2-4'}"
49,7,2020-06-03,"{'reply': 'MovingWook감사합니다..! 쪽지 드렸습니다', 'thread': '2-5'}"
50,7,2020-06-03,"{'reply': '1. 구글링 열심히 해서 독학하시면 됩니다.. 이외에는 공모전 해커톤 입상등이 있겠네요. 저라면 현실적으로 독학해서 이것저것 만들어보는거 추천드립니다.\n2. 수업 내용을 모르는이상 뭐라 답을 못드리겠네요\n3. 창의적인 아이디어는 크게 중요하지 않습니다. 창업 할거 아니면요. 주어진 업무?에 관해 빠르고 효율적이고 예쁘게 잘 짤수 있는지가 중요한것 같습니다.\n4. 개인적으로 공부도 하고 학교 수업도 같이 들으면 학점도 잘받고 이중으로 좋겠죠. 왜 독학도 하실거면서 수업은 안들으려고 하시나요??\n5. 토익은 4학년때 하는게 좋습니다.(기간 때문에) 한국사는 공기업 갈거 아니면 안해도 됩니다. 제2외국어도 마케팅 영업 이런거 아니면 필요없을것같아요..(또는 일본취업하실거 아니면 굳이 일본어도 필요없을듯) 영어 하나 잘 하시는게 더 이득입니다. \n\n\n일단 가장 먼저 해야할 일은 뭘 할지부터 정하시는게 최우선입니다.\n프로그래밍이 맞는지 안맞는지, 개발이 하기 싫으면 그냥 애초에 공기업 준비하시는게 답이고요. 개발이 맞으면 분야를 더 세분화해서 어떤게 나랑 맞을지 이것저것 공부하면서 알아보세요. 개발이 아니라 유통이다!싶으시면 개발은 차라리 아예 포기하시는게 좋고요.', 'thread': '1-0'}"
51,7,2020-03-25,"{'reply': '조언 감사합니다.. 우선 독학은 하면서 학교수업을 듣지 않으려고 해봤던 첫번째 이유는 산공전공과 프로그래밍 둘 다 듣다가 학점 낮아질까봐 이구요,, 말씀하신 대로 가장 무엇을 먼저 할지 정하는게 어렵네요 ㅠㅠ 프로그래밍이 맞는지 안맞는지는 공부를 본격적으로 시작해보아야 아는 거겠죠? it쪽도 개발뿐만 아니라 다른 부분도 많다던데 그쪽도 알아봐야 할 것 같습니다. 감사합니다.', 'thread': '1-1'}"
52,7,2020-03-25,"{'reply': 'https://open.kakao.com/o/gfwAjq5bIt관련 고민이신 분들 대상으로 이야기 나누는 방입니다편하게 와주세요~~! 정보 나눠요!!', 'thread': '2-0'}"
53,7,2020-03-25,"{'reply': '산업공학과이면 대외활동으로 FIELD를 강력 추천드립니다!', 'thread': '1-0'}"
54,7,2021-01-06,"{'reply': '댓글 감사합니다! FIELD ENGINEER 말씀하시는거 맞으시죵?', 'thread': '1-1'}"
55,7,2021-01-06,"{'reply': '코딩공부요, 빅데이터의 경우 현재 석사 필수라 석사 할거 아니면 코딩으로 sw개발로 입사 위 그쪽으로 배정 받는게 낫습니다.', 'thread': '2-0'}"
56,7,2021-01-06,"{'reply': '산공이 공기업길이 없어서 그렇지 사기업은 갈수있는  직무가 많습니다', 'thread': '1-0'}"
57,7,2019-05-15,"{'reply': '자격증만 있으면 어디든 갈 수 있어요~~', 'thread': '2-0'}"
58,7,2019-05-15,"{'reply': '사기업은 자리 찾기쉬워요.. SCM쪽이나 품질/물류/생산 쪽으로 반현장직이 주로 많지만요', 'thread': '3-0'}"
59,7,2019-05-15,"{'reply': '지금은 취엊하셧나요??', 'thread': '4-0'}"
60,7,2019-05-15,"{'reply': '아니욬ㅋㅋㅌㅋ큐ㅠㅠ 포스코 씨제이 다 서류탈해서 다른곳 적고있습니다 ㅠㅠ', 'thread': '4-1'}"
61,7,2019-05-15,"{'reply': '단미언니산업공학으로 편잊을 할려고 하는데 취엊이 잘안되나요?? 전공은기계입니다......(너무 어려워서)', 'thread': '4-2'}"
